County,Asthma Count,TotalERCount,Race
Ozark,1,11,AllOtherRaces
Ozark,0,2,Black
Ozark,39,847,White
Pemiscot,14,102,AllOtherRaces
Pemiscot,361,2666,Black
Pemiscot,206,4374,White
Perry,5,65,AllOtherRaces
Perry,8,31,Black
Perry,457,6435,White
Pettis,72,433,AllOtherRaces
Pettis,96,488,Black
Pettis,630,7537,White
Phelps,15,218,AllOtherRaces
Phelps,40,240,Black
Phelps,524,9471,White
Pike,9,50,AllOtherRaces
Pike,32,313,Black
Pike,272,3940,White
Platte,76,704,AllOtherRaces
Platte,248,1110,Black
Platte,833,9496,White
Polk,8,106,AllOtherRaces
Polk,10,56,Black
Polk,504,7508,White
Pulaski,15,171,AllOtherRaces
Pulaski,66,459,Black
Pulaski,259,4980,White
Putnam,1,13,AllOtherRaces
Putnam,0,2,Black
Putnam,81,1748,White
Ralls,0,7,AllOtherRaces
Ralls,5,28,Black
Ralls,67,1123,White
Randolph,17,103,AllOtherRaces
Randolph,57,491,Black
Randolph,384,5864,White
Ray,9,55,AllOtherRaces
Ray,21,156,Black
Ray,363,4892,White
Reynolds,0,39,AllOtherRaces
Reynolds,0,14,Black
Reynolds,92,2188,White
Ripley,0,30,AllOtherRaces
Ripley,0,5,Black
Ripley,189,4654,White
Saline,88,923,AllOtherRaces
Saline,60,455,Black
Saline,378,4071,White
Schuyler,0,7,AllOtherRaces
Schuyler,1,1,Black
Schuyler,34,873,White
Scotland,0,12,AllOtherRaces
Scotland,0,0,Black
Scotland,64,1189,White
Scott,9,193,AllOtherRaces
Scott,401,2104,Black
Scott,446,8692,White
Shannon,0,12,AllOtherRaces
Shannon,0,2,Black
Shannon,106,2101,White
Shelby,3,13,AllOtherRaces
Shelby,0,7,Black
Shelby,36,793,White
St. Charles,258,1564,AllOtherRaces
St. Charles,930,4241,Black
St. Charles,4375,47012,White
St. Clair,0,29,AllOtherRaces
St. Clair,4,14,Black
St. Clair,190,2300,White
St. Francois,12,155,AllOtherRaces
St. Francois,68,625,Black
St. Francois,1162,22052,White
St. Louis City,525,2658,AllOtherRaces
St. Louis City,18787,73735,Black
St. Louis City,2276,21853,White
St. Louis County,1012,5296,AllOtherRaces
St. Louis County,21212,85176,Black
St. Louis County,8227,83112,White
Ste. Genevieve,0,86,AllOtherRaces
Ste. Genevieve,21,50,Black
Ste. Genevieve,169,4254,White
Stoddard,5,72,AllOtherRaces
Stoddard,13,113,Black
Stoddard,285,7376,White
Stone,0,55,AllOtherRaces
Stone,9,17,Black
Stone,276,5242,White
Sullivan,0,185,AllOtherRaces
Sullivan,41,8,Black
Sullivan,125,1935,White
Taney,6,120,AllOtherRaces
Taney,49,225,Black
Taney,680,13242,White
Texas,5,38,AllOtherRaces
Texas,8,40,Black
Texas,248,6187,White
Vernon,9,34,AllOtherRaces
Vernon,15,32,Black
Vernon,914,5833,White
Warren,28,163,AllOtherRaces
Warren,24,296,Black
Warren,483,5847,White
Washington,3,53,AllOtherRaces
Washington,8,90,Black
Washington,456,9505,White
